date,Cases,dailyCases,Deaths,dailyDeaths
2020-01-21,1,0,0,0
2020-01-22,1,0,0,0
2020-01-23,1,0,0,0
2020-01-24,2,1,0,0
2020-01-25,3,1,0,0
2020-01-26,5,2,0,0
2020-01-27,5,0,0,0
2020-01-28,5,0,0,0
2020-01-29,5,0,0,0
2020-01-30,6,1,0,0
2020-01-31,7,1,0,0
2020-02-01,8,1,0,0
2020-02-02,11,3,0,0
2020-02-03,11,0,0,0
2020-02-04,11,0,0,0
2020-02-05,12,1,0,0
2020-02-06,12,0,0,0
2020-02-07,12,0,0,0
2020-02-08,12,0,0,0
2020-02-09,12,0,0,0
2020-02-10,13,1,0,0
2020-02-11,13,0,0,0
2020-02-12,14,1,0,0
2020-02-13,15,1,0,0
2020-02-14,15,0,0,0
2020-02-15,15,0,0,0
2020-02-16,15,0,0,0
2020-02-17,25,10,0,0
2020-02-18,25,0,0,0
2020-02-19,25,0,0,0
2020-02-20,27,2,0,0
2020-02-21,30,3,0,0
2020-02-22,30,0,0,0
2020-02-23,30,0,0,0
2020-02-24,43,13,0,0
2020-02-25,45,2,0,0
2020-02-26,60,15,0,0
2020-02-27,60,0,0,0
2020-02-28,65,5,0,0
2020-02-29,70,5,1,1
2020-03-01,88,18,3,2
2020-03-02,104,16,6,3
2020-03-03,125,21,10,4
2020-03-04,161,36,12,2
2020-03-05,228,67,12,0
2020-03-06,311,83,15,3
2020-03-07,428,117,19,4
2020-03-08,547,119,22,3
2020-03-09,748,201,26,4
2020-03-10,1018,270,31,5
2020-03-11,1263,245,37,6
2020-03-12,1668,405,43,6
2020-03-13,2224,556,50,7
2020-03-14,2898,674,60,10
2020-03-15,3600,702,68,8
2020-03-16,4507,907,91,23
2020-03-17,5906,1399,117,26
2020-03-18,8350,2444,162,45
2020-03-19,12393,4043,212,50
2020-03-20,18012,5619,277,65
2020-03-21,24528,6516,360,83
2020-03-22,33073,8545,458,98
2020-03-23,43505,10432,579,121
2020-03-24,53938,10433,785,206
2020-03-25,68572,14634,1054,269
2020-03-26,85570,16998,1353,299
2020-03-27,102900,17330,1770,417
2020-03-28,123966,21066,2300,530
2020-03-29,142486,18520,2718,418
2020-03-30,163955,21469,3368,650
2020-03-31,188461,24506,4304,936
2020-04-01,215391,26930,5325,1021
2020-04-02,245108,29717,6541,1216
2020-04-03,277426,32318,7932,1391
2020-04-04,312525,35099,9488,1556
2020-04-05,338141,25616,10856,1368
2020-04-06,369057,30916,12382,1526
2020-04-07,399394,30337,14616,2234
2020-04-08,431214,31820,16701,2085
2020-04-09,465913,34699,18821,2120
2020-04-10,499386,33473,21084,2263
2020-04-11,531106,31720,23168,2084
2020-04-12,558249,27143,24849,1681
2020-04-13,584018,25769,26613,1764
2020-04-14,610709,26691,29318,2705
2020-04-15,640742,30033,32070,2752
2020-04-16,672355,31613,34419,2349
2020-04-17,703864,31509,36708,2289
2020-04-18,732262,28398,38659,1951
2020-04-19,757596,25334,40179,1520
2020-04-20,784926,27330,42016,1837
2020-04-21,810434,25508,44688,2672
2020-04-22,839266,28832,47059,2371
2020-04-23,873039,33773,49228,2169
2020-04-24,909778,36739,51360,2132
2020-04-25,944186,34408,53327,1967
2020-04-26,970921,26735,54580,1253
2020-04-27,994110,23189,56022,1442
2020-04-28,1018744,24634,58416,2394
2020-04-29,1045298,26554,60930,2514
2020-04-30,1075637,30339,63140,2210
2020-05-01,1109601,33964,64902,1762
2020-05-02,1139075,29474,66485,1583
2020-05-03,1165215,26140,67816,1331
2020-05-04,1187176,21961,68905,1089
2020-05-05,1210881,23705,71139,2234
2020-05-06,1235366,24485,73847,2708
2020-05-07,1263841,28475,75805,1958
2020-05-08,1291483,27642,77380,1575
2020-05-09,1316351,24868,78834,1454
2020-05-10,1336668,20317,79766,932
2020-05-11,1354286,17618,80748,982
2020-05-12,1376585,22299,82400,1652
2020-05-13,1397726,21141,84168,1768
2020-05-14,1424687,26961,85906,1738
2020-05-15,1450910,26223,87499,1593
2020-05-16,1474569,23659,88724,1225
2020-05-17,1493583,19014,89568,844
2020-05-18,1515403,21820,90414,846
2020-05-19,1536371,20968,91934,1520
2020-05-20,1559435,23064,93411,1477
2020-05-21,1585168,25733,94722,1311
2020-05-22,1608961,23793,96010,1288
2020-05-23,1631229,22268,97060,1050
2020-05-24,1651260,20031,97680,620
2020-05-25,1670360,19100,98190,510
2020-05-26,1689249,18889,98937,747
2020-05-27,1707990,18741,100422,1485
2020-05-28,1730458,22468,101622,1200
2020-05-29,1755005,24547,102812,1190
2020-05-30,1778402,23397,103775,963
2020-05-31,1799036,20634,104379,604
2020-06-01,1820930,21894,105113,734
2020-06-02,1841716,20786,106195,1082
2020-06-03,1861695,19979,107184,989
2020-06-04,1883309,21614,108192,1008
2020-06-05,1912006,28697,109304,1112
2020-06-06,1934522,22516,110032,728
2020-06-07,1953138,18616,110422,390
2020-06-08,1971339,18201,111144,722
2020-06-09,1990143,18804,112174,1030
2020-06-10,2013298,23155,113103,929
2020-06-11,2036500,23202,113980,877
2020-06-12,2061993,25493,114759,779
2020-06-13,2087327,25334,115451,692
2020-06-14,2106457,19130,115768,317
2020-06-15,2126574,20117,116216,448
2020-06-16,2151459,24885,116985,769
2020-06-17,2177114,25655,117746,761
2020-06-18,2205173,28059,118473,727
2020-06-19,2236009,30836,119171,698
2020-06-20,2268034,32025,119717,546
2020-06-21,2294413,26379,119974,257
2020-06-22,2324879,30466,120334,360
2020-06-23,2359937,35058,121167,833
2020-06-24,2396926,36989,121934,767
2020-06-25,2438099,41173,124400,2466
2020-06-26,2483625,45526,125033,633
2020-06-27,2525929,42304,125544,511
2020-06-28,2565007,39078,125814,270
2020-06-29,2604924,39917,126162,348
2020-06-30,2653319,48395,127462,1300
2020-07-01,2703296,49977,128104,642
2020-07-02,2758851,55555,128827,723
2020-07-03,2815374,56523,129417,590
2020-07-04,2866014,50640,129679,262
2020-07-05,2910780,44766,129941,262
2020-07-06,2958095,47315,130332,391
2020-07-07,3012252,54157,131290,958
2020-07-08,3071711,59459,132238,948
2020-07-09,3131610,59899,133079,841
2020-07-10,3199837,68227,133907,828
2020-07-11,3260565,60728,134582,675
2020-07-12,3318372,57807,134977,395
2020-07-13,3379943,61571,135402,425
2020-07-14,3445544,65601,136356,954
2020-07-15,3513892,68348,137327,971
2020-07-16,3589589,75697,138285,958
2020-07-17,3660512,70923,139186,901
2020-07-18,3722966,62454,139961,775
2020-07-19,3785241,62275,140373,412
2020-07-20,3845124,59883,140904,531
2020-07-21,3910398,65274,142031,1127
2020-07-22,3980128,69730,143167,1136
2020-07-23,4050126,69998,144283,1116
2020-07-24,4123651,73525,145430,1147
